candidate,percent_voters,number_voters
Порошенко Петро Олексійович,54.7,9857308
Тимошенко Юлія Володимирівна,12.81,2310050
Ляшко Олег Валерійович,8.32,1500377
Гриценко Анатолій Степанович,5.48,989029
Тігіпко Сергій Леонідович,5.23,943430
Добкін Михайло Маркович,3.03,546138
Рабінович Вадим Зіновійович,2.25,406301
Богомолець Ольга Вадимівна,1.91,345384
Симоненко Петро Миколайович,1.51,272723
Тягнибок Олег Ярославович,1.16,210476
Ярош Дмитро Анатолійович,0.7,127772
Гриненко Андрій Вікторович,0.4,73277
Коновалюк Валерій Ілліч,0.38,69572
Бойко Юрій Анатолійович,0.19,35928
Маломуж Микола Григорович,0.13,23771
Кузьмін Ренат Равелійович,0.1,18689
Куйбіда Василь Степанович,0.06,12391
Клименко Олександр Іванович,0.05,10542
Цушко Василь Петрович,0.05,10434
Саранов Володимир Георгійович,0.03,6232
Шкіряк Зорян Нестрович,0.02,5021
