candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Гриненко Андрій Валерійович,Чернівецька,Chernivetska,0.27,13,431758
Гриненко Андрій Валерійович,м.Київ,Kyiv,0.23,13,1380012
Гриценко Анатолій Степанович,Черкаська,Cherkaska,9.04,4,673734
Гриценко Анатолій Степанович,Тернопільська,Ternopilska,7.54,4,650087
Гриценко Анатолій Степанович,м.Київ,Kyiv,7.0,3,1380012
Гриценко Анатолій Степанович,Дніпропетровська,Dnipropetrovska,6.26,5,1465139
Гриценко Анатолій Степанович,Чернігівська,Chernihivska,6.23,4,557295
Гриценко Анатолій Степанович,Запорізька,Zaporizka,6.22,5,735764
Гриценко Анатолій Степанович,Волинська,Volynska,6.15,4,581796
Гриценко Анатолій Степанович,Херсонська,Khersonska,5.96,4,439332
Гриценко Анатолій Степанович,Львівська,Lvivska,5.86,4,1544016
Гриценко Анатолій Степанович,Кіровоградська,Kirovohradska,5.83,4,467755
Гриценко Анатолій Степанович,Сумська,Sumska,5.69,4,570645
Гриценко Анатолій Степанович,Полтавська,Poltavska,5.52,4,761748
Гриценко Анатолій Степанович,Київська,Kyivska,5.12,4,996046
Гриценко Анатолій Степанович,Рівненська,Rivnenska,5.04,4,614771
Гриценко Анатолій Степанович,Хмельницька,Khmelnytska,4.73,4,728864
Гриценко Анатолій Степанович,Івано-Франківська,Ivano-Frankivska,4.63,4,796008
Гриценко Анатолій Степанович,Луганська,Luhanska,4.55,8,52239
Гриценко Анатолій Степанович,Харківська,Kharkivska,4.42,5,1033847
Гриценко Анатолій Степанович,Житомирська,Zhytomyrska,4.42,4,659335
Гриценко Анатолій Степанович,Донецька,Donetska,4.16,7,115823
Гриценко Анатолій Степанович,Миколаївська,Mykolaivska,4.14,7,472522
Гриценко Анатолій Степанович,Вінницька,Vinnytska,4.11,4,895219
Гриценко Анатолій Степанович,Закарпатська,Zakarpatska,4.02,4,486273
Гриценко Анатолій Степанович,Чернівецька,Chernivetska,3.12,4,431758
Гриценко Анатолій Степанович,Одеська,Odeska,2.93,8,836659
Добкін Михайло Маркович,Харківська,Kharkivska,26.25,2,1033847
Добкін Михайло Маркович,Луганська,Luhanska,8.02,3,52239
Добкін Михайло Маркович,Донецька,Donetska,6.81,4,115823
Добкін Михайло Маркович,Запорізька,Zaporizka,5.98,6,735764
Добкін Михайло Маркович,Дніпропетровська,Dnipropetrovska,4.74,7,1465139
Добкін Михайло Маркович,Миколаївська,Mykolaivska,4.31,6,472522
Добкін Михайло Маркович,Одеська,Odeska,3.85,5,836659
Добкін Михайло Маркович,Херсонська,Khersonska,2.67,8,439332
Добкін Михайло Маркович,Закарпатська,Zakarpatska,2.07,6,486273
Добкін Михайло Маркович,Сумська,Sumska,2.01,6,570645
Добкін Михайло Маркович,Полтавська,Poltavska,1.38,9,761748
Добкін Михайло Маркович,Кіровоградська,Kirovohradska,1.32,10,467755
Добкін Михайло Маркович,Чернігівська,Chernihivska,1.16,9,557295
Добкін Михайло Маркович,м.Київ,Kyiv,0.69,11,1380012
Добкін Михайло Маркович,Житомирська,Zhytomyrska,0.61,10,659335
Добкін Михайло Маркович,Хмельницька,Khmelnytska,0.6,10,728864
Добкін Михайло Маркович,Черкаська,Cherkaska,0.51,12,673734
Добкін Михайло Маркович,Вінницька,Vinnytska,0.47,10,895219
Добкін Михайло Маркович,Чернівецька,Chernivetska,0.43,11,431758
Добкін Михайло Маркович,Київська,Kyivska,0.43,11,996046
Добкін Михайло Маркович,Волинська,Volynska,0.43,12,581796
Добкін Михайло Маркович,Рівненська,Rivnenska,0.28,12,614771
Добкін Михайло Маркович,Львівська,Lvivska,0.11,12,1544016
Добкін Михайло Маркович,Івано-Франківська,Ivano-Frankivska,0.11,12,796008
Добкін Михайло Маркович,Тернопільська,Ternopilska,0.11,12,650087
Клименко Олександр Іванович,Луганська,Luhanska,0.28,16,52239
Клименко Олександр Іванович,Донецька,Donetska,0.27,16,115823
Клименко Олександр Іванович,Запорізька,Zaporizka,0.1,17,735764
Клименко Олександр Іванович,Миколаївська,Mykolaivska,0.1,17,472522
Клименко Олександр Іванович,Одеська,Odeska,0.09,18,836659
Клименко Олександр Іванович,Дніпропетровська,Dnipropetrovska,0.09,17,1465139
Клименко Олександр Іванович,Закарпатська,Zakarpatska,0.08,16,486273
Клименко Олександр Іванович,Херсонська,Khersonska,0.08,17,439332
Клименко Олександр Іванович,Чернігівська,Chernihivska,0.07,16,557295
Клименко Олександр Іванович,Полтавська,Poltavska,0.07,17,761748
Клименко Олександр Іванович,Харківська,Kharkivska,0.06,18,1033847
Клименко Олександр Іванович,Кіровоградська,Kirovohradska,0.06,17,467755
Клименко Олександр Іванович,Сумська,Sumska,0.06,17,570645
Клименко Олександр Іванович,Волинська,Volynska,0.05,17,581796
Клименко Олександр Іванович,Тернопільська,Ternopilska,0.05,14,650087
Клименко Олександр Іванович,Житомирська,Zhytomyrska,0.05,18,659335
Клименко Олександр Іванович,Рівненська,Rivnenska,0.05,17,614771
Клименко Олександр Іванович,Хмельницька,Khmelnytska,0.04,18,728864
Клименко Олександр Іванович,Чернівецька,Chernivetska,0.04,18,431758
Клименко Олександр Іванович,Черкаська,Cherkaska,0.03,18,673734
Клименко Олександр Іванович,Київська,Kyivska,0.03,18,996046
Клименко Олександр Іванович,Вінницька,Vinnytska,0.03,18,895219
Клименко Олександр Іванович,м.Київ,Kyiv,0.02,20,1380012
Клименко Олександр Іванович,Івано-Франківська,Ivano-Frankivska,0.02,17,796008
Клименко Олександр Іванович,Львівська,Lvivska,0.01,18,1544016
Коновалюк Валерій Ілліч,Донецька,Donetska,2.07,10,115823
Коновалюк Валерій Ілліч,Запорізька,Zaporizka,1.26,10,735764
Коновалюк Валерій Ілліч,Дніпропетровська,Dnipropetrovska,1.11,11,1465139
Коновалюк Валерій Ілліч,Луганська,Luhanska,1.05,11,52239
Коновалюк Валерій Ілліч,Миколаївська,Mykolaivska,0.83,10,472522
Коновалюк Валерій Ілліч,Херсонська,Khersonska,0.79,11,439332
Коновалюк Валерій Ілліч,Одеська,Odeska,0.69,11,836659
Коновалюк Валерій Ілліч,Харківська,Kharkivska,0.52,13,1033847
Коновалюк Валерій Ілліч,Кіровоградська,Kirovohradska,0.36,13,467755
Коновалюк Валерій Ілліч,Полтавська,Poltavska,0.35,13,761748
Коновалюк Валерій Ілліч,Сумська,Sumska,0.31,13,570645
Коновалюк Валерій Ілліч,м.Київ,Kyiv,0.26,12,1380012
Коновалюк Валерій Ілліч,Чернігівська,Chernihivska,0.23,13,557295
Коновалюк Валерій Ілліч,Житомирська,Zhytomyrska,0.19,13,659335
Коновалюк Валерій Ілліч,Київська,Kyivska,0.19,14,996046
Коновалюк Валерій Ілліч,Черкаська,Cherkaska,0.18,13,673734
Коновалюк Валерій Ілліч,Закарпатська,Zakarpatska,0.17,15,486273
Коновалюк Валерій Ілліч,Хмельницька,Khmelnytska,0.15,13,728864
Коновалюк Валерій Ілліч,Рівненська,Rivnenska,0.15,13,614771
Коновалюк Валерій Ілліч,Чернівецька,Chernivetska,0.15,14,431758
Коновалюк Валерій Ілліч,Волинська,Volynska,0.11,13,581796
Коновалюк Валерій Ілліч,Вінницька,Vinnytska,0.09,14,895219
Коновалюк Валерій Ілліч,Львівська,Lvivska,0.05,15,1544016
Коновалюк Валерій Ілліч,Івано-Франківська,Ivano-Frankivska,0.04,15,796008
Коновалюк Валерій Ілліч,Тернопільська,Ternopilska,0.04,17,650087
Кузьмін Ренат Равелійович,Луганська,Luhanska,0.57,13,52239
Кузьмін Ренат Равелійович,Запорізька,Zaporizka,0.26,15,735764
Кузьмін Ренат Равелійович,Одеська,Odeska,0.25,16,836659
Кузьмін Ренат Равелійович,Миколаївська,Mykolaivska,0.21,15,472522
Кузьмін Ренат Равелійович,Дніпропетровська,Dnipropetrovska,0.21,15,1465139
