candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Балашов Геннадій Вікторович,м.Київ,Kyiv,0.4,10,1462690
Балашов Геннадій Вікторович,Київська,Kyivska,0.26,13,983279
Балашов Геннадій Вікторович,Харківська,Kharkivska,0.18,11,1324847
Балашов Геннадій Вікторович,Дніпропетровська,Dnipropetrovska,0.17,11,1647398
Балашов Геннадій Вікторович,Черкаська,Cherkaska,0.17,15,615327
Балашов Геннадій Вікторович,Закарпатська,Zakarpatska,0.16,17,443329
Балашов Геннадій Вікторович,Рівненська,Rivnenska,0.16,18,552041
Балашов Геннадій Вікторович,Одеська,Odeska,0.16,12,1026868
Балашов Геннадій Вікторович,Полтавська,Poltavska,0.16,15,735908
Балашов Геннадій Вікторович,Чернівецька,Chernivetska,0.15,16,385533
Балашов Геннадій Вікторович,Хмельницька,Khmelnytska,0.14,15,650602
Балашов Геннадій Вікторович,Житомирська,Zhytomyrska,0.14,17,618835
Балашов Геннадій Вікторович,Волинська,Volynska,0.14,17,520163
Балашов Геннадій Вікторович,Запорізька,Zaporizka,0.14,12,872526
Балашов Геннадій Вікторович,Чернігівська,Chernihivska,0.13,15,530039
Балашов Геннадій Вікторович,Миколаївська,Mykolaivska,0.13,15,525684
Балашов Геннадій Вікторович,Вінницька,Vinnytska,0.13,18,799770
Балашов Геннадій Вікторович,Львівська,Lvivska,0.12,17,1324932
Балашов Геннадій Вікторович,Кіровоградська,Kirovohradska,0.12,15,453544
Балашов Геннадій Вікторович,Херсонська,Khersonska,0.12,15,469391
Балашов Геннадій Вікторович,Тернопільська,Ternopilska,0.12,16,536680
Балашов Геннадій Вікторович,Сумська,Sumska,0.11,17,557247
Балашов Геннадій Вікторович,Луганська,Luhanska,0.1,16,302797
Балашов Геннадій Вікторович,Івано-Франківська,Ivano-Frankivska,0.1,19,650861
Балашов Геннадій Вікторович,Донецька,Donetska,0.09,15,848542
Безсмертний Роман Петрович,м.Київ,Kyiv,0.28,14,1462690
Безсмертний Роман Петрович,Волинська,Volynska,0.22,14,520163
Безсмертний Роман Петрович,Львівська,Lvivska,0.19,13,1324932
Безсмертний Роман Петрович,Київська,Kyivska,0.18,15,983279
Безсмертний Роман Петрович,Закарпатська,Zakarpatska,0.16,18,443329
Безсмертний Роман Петрович,Рівненська,Rivnenska,0.16,17,552041
