candidate,percent_voters,number_voters
Зеленський Володимир,30.24,5714034
Порошенко Петро,15.95,3014609
Тимошенко Юлія,13.4,2532452
Бойко Юрій,11.67,2206216
Гриценко Анатолій,6.91,1306450
Смешко Ігор,6.04,1141332
Ляшко Олег,5.48,1036003
Вілкул Олександр,4.15,784274
Кошулинський Руслан,1.62,307244
Тимошенко Юрій,0.62,117693
Шевченко Олександр,0.57,109078
Наливайченко Валентин,0.22,43239
Богомолець Ольга,0.17,33966
Балашов Геннадій,0.17,32872
Безсмертний Роман,0.14,27182
Бондар Віктор,0.11,22564
Литвиненко Юлія,0.1,20014
Дерев’янко Юрій,0.1,19542
Тарута Сергій,0.1,18918
Шевченко Ігор,0.09,18667
Богословська Інна,0.09,18482
Кармазін Юрій,0.08,15965
Петров Володимир,0.08,15587
Скоцик Віталій,0.08,15118
Каплін Сергій,0.07,14532
Мороз Олександр,0.06,13139
Кривенко Віктор,0.04,9243
Журавльов Василь,0.04,8453
Кива Ілля,0.03,5869
Новак Андрій,0.02,5587
Ващенко Олександр,0.02,5503
Габер Микола,0.02,5433
Соловйов Олександр,0.02,5331
Ригованов Руслан,0.02,5230
Данилюк Олександр,0.02,4648
Купрій Віталій,0.02,4508
Корнацький Аркадій,0.02,4494
Носенко Сергій,0.01,3114
Насіров Роман,0.01,2579
