candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Базилюк Олександр Філімонович,Закарпатська,Zakarpatska,0.07,15,615098
Базилюк Олександр Філімонович,м.Севастополь,Sevastopilska,0.06,12,213411
Базилюк Олександр Філімонович,Хмельницька,Khmelnytska,0.05,15,883217
Базилюк Олександр Філімонович,Одеська,Odeska,0.04,20,1180929
Базилюк Олександр Філімонович,Чернівецька,Chernivetska,0.04,16,502610
Базилюк Олександр Філімонович,Херсонська,Khersonska,0.04,21,622118
Базилюк Олександр Філімонович,Чернігівська,Chernihivska,0.03,21,757885
Базилюк Олександр Філімонович,Харківська,Kharkivska,0.03,22,1653005
Базилюк Олександр Філімонович,Миколаївська,Mykolaivska,0.03,21,681238
Базилюк Олександр Філімонович,Кіровоградська,Kirovohradska,0.03,21,622738
Базилюк Олександр Філімонович,Дніпропетровська,Dnipropetrovska,0.03,22,1966188
Базилюк Олександр Філімонович,Житомирська,Zhytomyrska,0.03,21,823849
Базилюк Олександр Філімонович,Вінницька,Vinnytska,0.03,21,1062094
Базилюк Олександр Філімонович,Волинська,Volynska,0.03,16,651043
Базилюк Олександр Філімонович,Полтавська,Poltavska,0.03,22,988604
Базилюк Олександр Філімонович,Запорізька,Zaporizka,0.03,23,1062476
Базилюк Олександр Філімонович,Авт.Респ. Крим,Avtonomna Respublika Krym,0.03,15,1029937
Базилюк Олександр Філімонович,Рівненська,Rivnenska,0.03,16,705872
Базилюк Олександр Філімонович,Київська,Kyivska,0.02,22,1118159
Базилюк Олександр Філімонович,Тернопільська,Ternopilska,0.02,17,724904
Базилюк Олександр Філімонович,Донецька,Donetska,0.02,18,2878213
Базилюк Олександр Філімонович,Черкаська,Cherkaska,0.02,22,832569
Базилюк Олександр Філімонович,Сумська,Sumska,0.02,18,811677
Базилюк Олександр Філімонович,м.Київ,Kyiv,0.02,23,1594023
Базилюк Олександр Філімонович,Луганська,Luhanska,0.01,20,1471583
Базилюк Олександр Філімонович,Львівська,Lvivska,0.01,18,1654221
Базилюк Олександр Філімонович,Івано-Франківська,Ivano-Frankivska,0.01,18,865150
Бойко Богдан Федорович,Закарпатська,Zakarpatska,0.1,13,615098
Бойко Богдан Федорович,Житомирська,Zhytomyrska,0.07,14,823849
Бойко Богдан Федорович,Чернівецька,Chernivetska,0.07,12,502610
Бойко Богдан Федорович,Дніпропетровська,Dnipropetrovska,0.06,19,1966188
Бойко Богдан Федорович,Полтавська,Poltavska,0.06,15,988604
Бойко Богдан Федорович,Одеська,Odeska,0.05,18,1180929
Бойко Богдан Федорович,Рівненська,Rivnenska,0.05,13,705872
Бойко Богдан Федорович,Хмельницька,Khmelnytska,0.05,14,883217
Бойко Богдан Федорович,Херсонська,Khersonska,0.05,17,622118
Бойко Богдан Федорович,Кіровоградська,Kirovohradska,0.05,15,622738
Бойко Богдан Федорович,Волинська,Volynska,0.05,12,651043
Бойко Богдан Федорович,м.Севастополь,Sevastopilska,0.05,14,213411
