candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Богословська Інна Германівна,м.Севастополь,Sevastopilska,2.31,5,204145
Богословська Інна Германівна,Авт.Респ. Крим,Avtonomna Respublika Krym,1.35,6,981922
Богословська Інна Германівна,Донецька,Donetska,0.86,6,2439002
Богословська Інна Германівна,Запорізька,Zaporizka,0.84,8,1010500
Богословська Інна Германівна,Харківська,Kharkivska,0.61,9,1455120
Богословська Інна Германівна,Дніпропетровська,Dnipropetrovska,0.44,10,1833458
Богословська Інна Германівна,Миколаївська,Mykolaivska,0.38,10,601126
Богословська Інна Германівна,Луганська,Luhanska,0.36,8,1313664
Богословська Інна Германівна,Херсонська,Khersonska,0.35,10,538431
Богословська Інна Германівна,Одеська,Odeska,0.3,11,1160126
Богословська Інна Германівна,Полтавська,Poltavska,0.3,13,803708
Богословська Інна Германівна,Чернігівська,Chernihivska,0.28,13,602599
Богословська Інна Германівна,Житомирська,Zhytomyrska,0.27,12,691123
Богословська Інна Германівна,Закарпатська,Zakarpatska,0.25,14,540736
Богословська Інна Германівна,Хмельницька,Khmelnytska,0.23,14,748056
Богословська Інна Германівна,Кіровоградська,Kirovohradska,0.23,12,508754
Богословська Інна Германівна,Черкаська,Cherkaska,0.23,14,681265
Богословська Інна Германівна,Вінницька,Vinnytska,0.22,14,899734
Богословська Інна Германівна,Чернівецька,Chernivetska,0.22,14,434568
Богословська Інна Германівна,м.Київ,Kyiv,0.21,12,1430356
Богословська Інна Германівна,Сумська,Sumska,0.21,13,627338
Богословська Інна Германівна,Київська,Kyivska,0.18,14,944893
Богословська Інна Германівна,Рівненська,Rivnenska,0.14,14,623112
Богословська Інна Германівна,Волинська,Volynska,0.12,14,586568
Богословська Інна Германівна,Тернопільська,Ternopilska,0.08,14,646679
Богословська Інна Германівна,Львівська,Lvivska,0.07,14,1475124
Богословська Інна Германівна,Івано-Франківська,Ivano-Frankivska,0.06,14,774146
Бродський Михайло Юрійович,Закарпатська,Zakarpatska,0.11,16,540736
Бродський Михайло Юрійович,Хмельницька,Khmelnytska,0.09,17,748056
Бродський Михайло Юрійович,м.Київ,Kyiv,0.09,16,1430356
Бродський Михайло Юрійович,Житомирська,Zhytomyrska,0.09,16,691123
Бродський Михайло Юрійович,Чернігівська,Chernihivska,0.08,16,602599
Бродський Михайло Юрійович,Чернівецька,Chernivetska,0.08,15,434568
Бродський Михайло Юрійович,Вінницька,Vinnytska,0.08,18,899734
Бродський Михайло Юрійович,Черкаська,Cherkaska,0.08,17,681265
Бродський Михайло Юрійович,Полтавська,Poltavska,0.07,17,803708
Бродський Михайло Юрійович,Херсонська,Khersonska,0.07,16,538431
Бродський Михайло Юрійович,Сумська,Sumska,0.07,17,627338
Бродський Михайло Юрійович,Київська,Kyivska,0.07,17,944893
Бродський Михайло Юрійович,Миколаївська,Mykolaivska,0.06,17,601126
Бродський Михайло Юрійович,Івано-Франківська,Ivano-Frankivska,0.06,15,774146
Бродський Михайло Юрійович,Кіровоградська,Kirovohradska,0.06,16,508754
Бродський Михайло Юрійович,Волинська,Volynska,0.06,17,586568
Бродський Михайло Юрійович,Рівненська,Rivnenska,0.06,17,623112
Бродський Михайло Юрійович,Тернопільська,Ternopilska,0.05,16,646679
Бродський Михайло Юрійович,Одеська,Odeska,0.05,16,1160126
Бродський Михайло Юрійович,Харківська,Kharkivska,0.04,17,1455120
Бродський Михайло Юрійович,Запорізька,Zaporizka,0.04,16,1010500
Бродський Михайло Юрійович,Дніпропетровська,Dnipropetrovska,0.04,17,1833458
Бродський Михайло Юрійович,Авт.Респ. Крим,Avtonomna Respublika Krym,0.04,16,981922
Бродський Михайло Юрійович,м.Севастополь,Sevastopilska,0.03,17,204145
Бродський Михайло Юрійович,Луганська,Luhanska,0.03,15,1313664
Бродський Михайло Юрійович,Донецька,Donetska,0.03,16,2439002
Бродський Михайло Юрійович,Львівська,Lvivska,0.03,17,1475124
Гриценко Анатолій Степанович,м.Київ,Kyiv,3.09,6,1430356
Гриценко Анатолій Степанович,Черкаська,Cherkaska,2.97,8,681265
Гриценко Анатолій Степанович,Львівська,Lvivska,2.05,7,1475124
Гриценко Анатолій Степанович,Тернопільська,Ternopilska,1.88,7,646679
Гриценко Анатолій Степанович,Чернігівська,Chernihivska,1.78,8,602599
Гриценко Анатолій Степанович,Хмельницька,Khmelnytska,1.52,9,748056
Гриценко Анатолій Степанович,Київська,Kyivska,1.42,9,944893
Гриценко Анатолій Степанович,Сумська,Sumska,1.42,8,627338
Гриценко Анатолій Степанович,Вінницька,Vinnytska,1.3,8,899734
Гриценко Анатолій Степанович,Закарпатська,Zakarpatska,1.19,9,540736
Гриценко Анатолій Степанович,Рівненська,Rivnenska,1.18,9,623112
Гриценко Анатолій Степанович,Дніпропетровська,Dnipropetrovska,1.17,8,1833458
Гриценко Анатолій Степанович,Кіровоградська,Kirovohradska,1.14,8,508754
Гриценко Анатолій Степанович,Полтавська,Poltavska,1.07,9,803708
