candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Костенко Ю.І,Вінницька,Vinnytska,0.43,11,899734
Костенко Ю.І,Чернігівська,Chernihivska,0.37,12,602599
Костенко Ю.І,Черкаська,Cherkaska,0.37,11,681265
Костенко Ю.І,Полтавська,Poltavska,0.35,12,803708
Костенко Ю.І,Івано-Франківська,Ivano-Frankivska,0.34,11,774146
Костенко Ю.І,Чернівецька,Chernivetska,0.3,12,434568
Костенко Ю.І,Закарпатська,Zakarpatska,0.27,13,540736
Костенко Ю.І,Київська,Kyivska,0.27,11,944893
Костенко Ю.І,Житомирська,Zhytomyrska,0.26,13,691123
Костенко Ю.І,м.Київ,Kyiv,0.24,11,1430356
Костенко Ю.І,Кіровоградська,Kirovohradska,0.21,13,508754
Костенко Ю.І,Львівська,Lvivska,0.2,11,1475124
Костенко Ю.І,Сумська,Sumska,0.18,14,627338
Костенко Ю.І,Миколаївська,Mykolaivska,0.18,12,601126
Костенко Ю.І,Херсонська,Khersonska,0.11,15,538431
Костенко Ю.І,Одеська,Odeska,0.1,13,1160126
Костенко Ю.І,Харківська,Kharkivska,0.09,15,1455120
Костенко Ю.І,Дніпропетровська,Dnipropetrovska,0.08,14,1833458
Костенко Ю.І,Запорізька,Zaporizka,0.07,14,1010500
Костенко Ю.І,м.Севастополь,Sevastopilska,0.05,15,204145
Костенко Ю.І,Авт.Респ. Крим,Avtonomna Respublika Krym,0.05,15,981922
Костенко Ю.І,Донецька,Donetska,0.03,15,2439002
Костенко Ю.І,Луганська,Luhanska,0.03,16,1313664
Литвин В.М,Рівненська,Rivnenska,7.06,5,623112
Литвин В.М,Житомирська,Zhytomyrska,6.98,5,691123
Литвин В.М,Хмельницька,Khmelnytska,4.49,5,748056
Литвин В.М,Кіровоградська,Kirovohradska,4.43,6,508754
Литвин В.М,Волинська,Volynska,4.27,6,586568
Литвин В.М,Сумська,Sumska,3.91,7,627338
Литвин В.М,Черкаська,Cherkaska,3.72,5,681265
Литвин В.М,Полтавська,Poltavska,3.72,6,803708
Литвин В.М,Київська,Kyivska,3.57,5,944893
Литвин В.М,Закарпатська,Zakarpatska,3.25,6,540736
Литвин В.М,Чернігівська,Chernihivska,3.14,6,602599
Литвин В.М,Миколаївська,Mykolaivska,2.85,6,601126
Литвин В.М,Вінницька,Vinnytska,2.6,7,899734
Литвин В.М,Одеська,Odeska,2.59,6,1160126
Литвин В.М,м.Київ,Kyiv,2.51,7,1430356
Литвин В.М,Чернівецька,Chernivetska,2.33,6,434568
Литвин В.М,Херсонська,Khersonska,2.27,6,538431
Литвин В.М,Тернопільська,Ternopilska,1.56,8,646679
Литвин В.М,м.Севастополь,Sevastopilska,1.48,7,204145
Литвин В.М,Дніпропетровська,Dnipropetrovska,1.42,6,1833458
Литвин В.М,Харківська,Kharkivska,1.36,7,1455120
Литвин В.М,Запорізька,Zaporizka,1.25,6,1010500
Литвин В.М,Авт.Респ. Крим,Avtonomna Respublika Krym,1.23,8,981922
Литвин В.М,Івано-Франківська,Ivano-Frankivska,1.06,7,774146
Литвин В.М,Львівська,Lvivska,0.74,8,1475124
Литвин В.М,Луганська,Luhanska,0.63,7,1313664
Литвин В.М,Донецька,Donetska,0.57,8,2439002
Мороз О.О,Закарпатська,Zakarpatska,1.58,8,540736
Мороз О.О,Черкаська,Cherkaska,0.89,10,681265
Мороз О.О,Полтавська,Poltavska,0.87,10,803708
Мороз О.О,Чернівецька,Chernivetska,0.76,10,434568
Мороз О.О,Чернігівська,Chernihivska,0.74,10,602599
Мороз О.О,Сумська,Sumska,0.73,10,627338
Мороз О.О,Вінницька,Vinnytska,0.64,10,899734
Мороз О.О,Житомирська,Zhytomyrska,0.59,10,691123
Мороз О.О,Кіровоградська,Kirovohradska,0.55,10,508754
